노선번호,정류장명
150,당하동
150,와동동
150,가람마을4단지
150,가람마을3.4.6단지
150,가람마을2.8단지(중)
150,해솔마을4단지
150,지산중학교.운정행복센터
150,해솔마을2.5단지
150,산내마을11단지
150,운정고등학교
150,한울마을1단지.LH파주본부
150,한울마을2단지
150,경기인력개발원
150,새암공원
150,한울마을3.5단지
150,운정야당지구대
150,한울공원
150,동패중.고등학교
150,삽다리사거리
150,덕이동문아파트
150,중앙하이츠아파트
150,만자고개
150,백송고등학교.백송마을
150,고양예고입구
150,송산3통
150,덕이초등학교
150,덕이동행정복지센터사거리
150,농수산물센터
150,예비군훈련장.성저3.4단지
150,대화역
150,백병원(중)
150,문촌마을(중)
150,주엽역(중)
150,강선마을(중)
150,일산동부경찰서(중)
150,일산동구청(중)
150,마두역(중)
150,호수마을(중)
150,알미공원.일산동구보건소(중)
150,백석역(중)
150,흰돌마을.서안아파트
150,우편집중국
150,섬말다리
150,신주택
150,일산화훼단지
150,삼성당
150,삼성당다리
150,대곡역두산위브
150,능곡초교
150,능곡시장
150,능곡역
150,능곡전화국
150,능곡화원
150,행주IC(미정차)
150,개화IC(미정차)
150,개화역1번출구.개화검문소
150,개화119안전센터
150,방화중학교
150,롯데몰.김포공항역
150,김포공항국제선(2번홈)
150,한국공항공사
150,김포공항국내선(10번홈)
150,공항동(미정차)
150,김포공항입구(미정차)
150,방화중학교
150,방화동도시개발11단지
150,개화119안전센터
150,개화역1번출구.개화검문소
150,개화IC(미정차)
150,행주고가차도
150,능곡화원
150,능곡전화국
150,능곡역.능곡시장
150,능곡초등학교
150,대곡역두산위브
150,삼성당다리
150,삼성당
150,일산화훼단지
150,신주택
150,섬말다리
150,우편집중국
150,흰돌5단지.서안아파트
150,안산공원.일산동구보건소(중)
150,흰돌마을(중)
150,마두역(중)
150,일산동구청(중)
150,일산동부경찰서(중)
150,강선마을(중)
150,주엽역(중)
150,문촌마을(중)
150,백병원(중)
150,대화역
150,예비군훈련장.성저3.4단지
150,농수산물센터
150,덕이동행정복지센터사거리
150,덕이초등학교
150,송산3통
150,고양예고입구
150,송포백송
150,만자고개
150,중앙하이츠아파트
150,덕이동문아파트
150,삽다리사거리
150,동패중.고등학교
150,한울공원
150,운정야당지구대
150,한울마을3.5단지
150,새암공원
150,경기인력개발원
150,한울마을2단지
150,한울마을1단지.LH파주본부
150,운정고등학교
150,산내마을11단지
150,해솔마을2.5단지
150,지산중학교.운정행복센터
150,가람마을9단지
150,가람마을2.8단지(중)
150,가람마을3.4.6단지
150,가람마을4단지
150,와동동
150,당하동
150,당하동삼거리
150,이마트파주점
150,교하파출소
150,금촌교
150,순달교
150,금촌전통시장입구
150,금촌역
150,금촌1동
150,팜스프링아파트
150,금촌동문아파트
150,독점말.대방노블랜드2차아파트
150,방호벽사거리
150,문산제일고교
150,문산제일고정문
150,야동동
150,대방아파트
150,성원아파트
150,유승아파트
150,검산초등학교
150,배무기
150,맥금동종점
17,서영대학교
17,덕은4리
17,덕은4리.우리식당
17,LCD산업단지
17,양지마을입구
17,덕은5리
17,월롱면행정복지센터
17,월롱역
17,위전1리
17,위전3리.신성레미콘
